harbour	/ˈhɑːbə/	bandargoh, port — kemalar to'xtaydigan joy
journey	/ˈdʒɜːni/	safar, sayohat — uzoq yo'l yurish
meadow	/ˈmedəʊ/	o'tloq — o't-o'lan o'sadigan maydon
anchor	/ˈæŋkə/	langar — kemani joyida ushlab turadigan og'ir temir
lantern	/ˈlæntən/	fonar — shamoldan himoyalangan chiroq
breeze	/briːz/	yengil shabada
summit	/ˈsʌmɪt/	cho'qqi — tog'ning eng yuqori nuqtasi
bridge	/brɪdʒ/	ko'prik — daryo ustidan o'tuvchi qurilma
valley	/ˈvæli/	vodiy — tog'lar orasidagi pastlik
desert	/ˈdezət/	sahro — qumli, suvsiz keng hudud
thunder	/ˈθʌndə/	momaqaldiroq — chaqmoqdan keyingi gulduros
shadow	/ˈʃædəʊ/	soya — yorug'lik to'silganda hosil bo'ladigan qorong'i joy
whisper	/ˈwɪspə/	pichirlash — juda past ovozda gapirish
courage	/ˈkʌrɪdʒ/	jasorat — qo'rquvni yengish
treasure	/ˈtreʒə/	xazina — qimmatbaho narsalar to'plami
compass	/ˈkʌmpəs/	kompas — yo'nalishni ko'rsatuvchi asbob
harvest	/ˈhɑːvɪst/	hosil yig'im-terimi
mirror	/ˈmɪrə/	ko'zgu, oyna
silence	/ˈsaɪləns/	sukunat — tovushsizlik
feather	/ˈfeðə/	pat — qush patlari
rescue	/ˈreskjuː/	qutqarish — xavfdan olib chiqish
marble	/ˈmɑːbl/	marmar — qimmatbaho qurilish toshi
orchard	/ˈɔːtʃəd/	meva bog'i
sparrow	/ˈspærəʊ/	chumchuq
twilight	/ˈtwaɪlaɪt/	shafaq — kun botgandan keyingi yorug'lik
vessel	/ˈvesl/	kema; idish
wander	/ˈwɒndə/	sayr qilib yurish, kezish
yield	/jiːld/	hosil bermoq; yon bermoq
